Filename;ActivityName;Location;ReferenceProduct
007b409a-6ddb-4e04-9cdb-dabdcd66f1df_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from IN-Northern grid;NP;electricity, high voltage
00822b55-b8e3-488b-a702-2a2304e55e4d_6b9d5139-a306-427d-aa98-a6006a215d50.spold;market for butyl acetate;RER;butyl acetate
008c9715-9f1d-44e9-8672-953b4a77fe9a_6d225696-1251-46d4-bd99-8ee6679fe3e2.spold;graphite production, battery grade;CN;graphite, battery grade
008caee1-7b2c-4175-8572-12fa569b2ea3_213ec740-73fd-4e70-a086-ceb61e7405b2.spold;market for potato seed, at farm;GLO;potato seed, at farm
0099a1e8-bf24-43a4-9c79-461d864137a2_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, reservoir, alpine region;IN-AS;electricity, high voltage
0099d7b9-f82e-421f-ab61-924cbfc17c13_315d1b7c-4c81-4ef7-9e4a-eb475047418a.spold;DTPA production;RER;DTPA, diethylenetriaminepentaacetic acid
00a47217-3494-4169-8622-2d5dd66be4e8_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, 1-3MW turbine, offshore;NL;electricity, high voltage
00a587f4-d4eb-46d2-9093-2cbb0d413776_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity production, photovoltaic, 570kWp open ground installation, multi-Si;CN-JS;electricity, low voltage
00a82e10-5ce9-5782-8b27-0bdd4c90e459_69b3d58f-ddde-59c4-a78d-2ededd641aab.spold;clear-cutting, grassland to arable land, forest, intensive;BR-MT;land tenure, arable land, measured as carbon net primary productivity, forest, intensive
00b53569-a9d7-403b-bc37-7bd06de3c448_6b9d5139-a306-427d-aa98-a6006a215d50.spold;butyl acetate production;RoW;butyl acetate
00b63fc8-78d8-4fcb-8887-f1f7d42c16d8_ccde15d5-179a-4bf2-a323-17fb1e056261.spold;market for venting of argon, crude, liquid;GLO;venting of argon, crude, liquid
00ba60ed-a37b-4188-83e4-dff74db1905a_42baed81-24d1-4aed-a120-cc7d35ddac10.spold;market for waste paperboard;NL;waste paperboard
00be8272-5c1e-403f-a05e-e2256a73dd5b_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, hard coal;DK;electricity, high voltage
00be8272-5c1e-403f-a05e-e2256a73dd5b_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, hard coal;DK;heat, district or industrial, other than natural gas
00c12125-0290-471c-9af0-b0a792d86a98_6f2eb438-cde2-4d07-a770-d023a988a9c4.spold;market for waste wood, untreated;AL;waste wood, untreated
00c40dc9-7445-4ef6-b263-a03088b2f277_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted;CN-NX;electricity, low voltage
00c5c229-0f59-4035-babd-71961475dafe_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from LV;LT;electricity, high voltage
00c719e6-f720-47a0-ac08-09d2eb39b6df_1125e767-7b5d-442e-81d6-9b0d3e1919ac.spold;heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;BE;heat, district or industrial, natural gas
00c719e6-f720-47a0-ac08-09d2eb39b6df_66c93e71-f32b-4591-901c-55395db5c132.spold;heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical;BE;electricity, high voltage
00ced6fa-e91b-49e2-9c2b-0964ce4339a4_817c3650-4fed-4ef2-b9b6-404a198834e6.spold;steel production, converter, low-alloyed;RoW;steel, low-alloyed
00cf768c-bf2f-41e7-bc8c-5091087c951c_f8088723-18f4-40f4-afd8-7bcb13c56021.spold;market for thermal plaster, outdoor;GLO;thermal plaster, outdoor
00d69b02-35b8-4600-95d9-885d15f663c7_9a8c2994-7cbb-4d86-a1b7-27fc0c4e49e3.spold;treatment of waste reinforcement steel, collection for final disposal;RoW;waste reinforcement steel
00dc9b10-8ab3-4138-b3a0-8eba0e4608e8_e8a51ec1-60cb-4ead-a948-ad1142c61918.spold;clinker production;RoW;wastewater, average
00df8767-7e52-456c-9d5e-83cf032b6c69_c0d1f278-c0fb-49f1-8dbb-7dbd602b94a4.spold;heat and power co-generation unit construction, 200kW electrical, components for electricity only;RoW;heat and power co-generation unit, 200kW electrical, components for electricity only
00e39be6-db2a-5aca-8727-121bcb98afa9_eb266390-532c-4f14-ba91-a1e1b688cf5c.spold;concrete, all types to generic market for concrete, medium strength;CO;concrete, medium strength
00e55099-0b36-4230-9f91-ce2819cebe36_85370dde-0a14-4c80-9025-035b3c44ac2f.spold;uranium production, diffusion, enriched 3.0%;RoW;uranium, enriched 3.0%, per separative work unit
00e5fb39-da0f-42a0-aca4-9419615f5207_2bf7e6c9-e683-4f7f-b6dd-0a9724d81352.spold;building construction, budget hotel;BR;building, budget hotel
